Segment_ID,Distance_mi,Speed_limit,Elevation_Change_ft,Avg_Temp_F
1,9.12,55,54,66.3
2,9.18,55,-48,47.9
3,9.2,55,240,55.3
4,9.6,65,-149,47.4
5,9.44,55,-239,70.6
6,9.2,55,-234,63.2
7,9.13,40,44,72.6
8,9.19,40,-45,41.3
9,9.24,55,-105,78.3
10,9.69,65,-10,60.1
11,9.16,40,-247,42.3
12,10.79,65,274,51.6
13,9.31,40,-153,66.3
14,9.37,40,56,64.1
15,9.18,40,-267,67.1
16,9.51,40,298,57.2
17,9.72,40,36,45.3
18,9.37,40,-258,48.2
19,9.48,40,-86,75.6
20,9.48,40,10,46.6
21,9.22,65,-146,62.8
22,9.17,40,-242,42.3
23,9.26,40,-239,74.2
24,10.05,65,46,74.3
25,10.4,65,5,40.2
26,9.3,40,-254,46.7
27,9.38,40,112,59.6
28,9.56,65,-241,63.6
29,9.24,55,268,45.8
30,9.12,65,-201,48.8
31,9.16,65,113,49.0
32,9.35,55,-22,63.9
33,9.15,55,-85,43.2
34,9.43,40,-108,44.3
35,9.27,40,-146,76.9
36,9.13,55,171,68.7
37,9.21,55,253,63.3
38,9.33,65,212,40.8
39,7.54,40,-41,42.4
